slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-ankle-sprain,Ankle Sprain,,,unmatched,unmatched,,extracted-illness-scripts\is-ankle-sprain.html
is-ankylosing-spondylitis,Ankylosing Spondylitis,,,unmatched,unmatched,,extracted-illness-scripts\is-ankylosing-spondylitis.html
is-anorectal-abscess,Anorectal Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-anorectal-abscess.html
is-anorexia-nervosa,Anorexia Nervosa,,,unmatched,unmatched,,extracted-illness-scripts\is-anorexia-nervosa.html
is-anticoagulants-and-antiplatelets,Anticoagulants and Antiplatelets,,,unmatched,unmatched,,extracted-illness-scripts\is-anticoagulants-and-antiplatelets.html
is-anticoagulants,Anticoagulants,,,unmatched,unmatched,,extracted-illness-scripts\is-anticoagulants.html
is-anxiety-hyperventilation,Anxiety (Hyperventilation),,,unmatched,unmatched,,extracted-illness-scripts\is-anxiety-hyperventilation.html
is-anxiety-induced-dizziness,Anxiety-Induced Dizziness,,,unmatched,unmatched,,extracted-illness-scripts\is-anxiety-induced-dizziness.html
is-anxiety,Anxiety,,,unmatched,unmatched,,extracted-illness-scripts\is-anxiety.html
is-aortic-aneurysm-rupture-or-dissection,Aortic Aneurysm (Rupture or Dissection),Aortic aneurysm,,condition,fuzzy:1.25,Heart and vasculature,extracted-illness-scripts\is-aortic-aneurysm-rupture-or-dissection.html
is-aortic-aneurysm-thoracic,Aortic Aneurysm (Thoracic),Aortic aneurysm,,condition,fuzzy:1.35,Heart and vasculature,extracted-illness-scripts\is-aortic-aneurysm-thoracic.html
is-aortic-aneurysm,Aortic Aneurysm,Aortic aneurysm,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-aortic-aneurysm.html
is-aortic-coarctation,Aortic Coarctation,,,unmatched,unmatched,,extracted-illness-scripts\is-aortic-coarctation.html
is-aortic-stenosis,Aortic Stenosis,,,unmatched,unmatched,,extracted-illness-scripts\is-aortic-stenosis.html
is-aphthous-ulceration,Aphthous Ulceration,,,unmatched,unmatched,,extracted-illness-scripts\is-aphthous-ulceration.html
is-aplastic-anaemia,Aplastic Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-aplastic-anaemia.html
is-appendicitis,Appendicitis,Appendicitis,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-appendicitis.html
is-arrhythmia,Arrhythmia,,,unmatched,unmatched,,extracted-illness-scripts\is-arrhythmia.html
is-arthropathy,Arthropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-arthropathy.html
is-ascites,Ascites,,,unmatched,unmatched,,extracted-illness-scripts\is-ascites.html
is-asthma,Asthma,Asthma,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-asthma.html
is-atopic-dermatitis,Atopic Dermatitis,Atopic dermatitis/ eczema,,condition,fuzzy:1.16,Skin and soft tissue,extracted-illness-scripts\is-atopic-dermatitis.html
is-atrial-fibrillation,Atrial Fibrillation (AF),,,unmatched,unmatched,,extracted-illness-scripts\is-atrial-fibrillation.html
is-atrial-flutter,Atrial Flutter,,,unmatched,unmatched,,extracted-illness-scripts\is-atrial-flutter.html
is-atrophic-vaginitis,Atrophic Vaginitis,,,unmatched,unmatched,,extracted-illness-scripts\is-atrophic-vaginitis.html
is-atypical-myocardial-infarction,Atypical Myocardial Infarction,,,unmatched,unmatched,,extracted-illness-scripts\is-atypical-myocardial-infarction.html
is-autoimmune-hepatitis,Autoimmune Hepatitis,"Hepatitis (including viral, autoimmune, alcoholic)",,condition,fuzzy:1.08,"Liver, pancreas, biliary system",extracted-illness-scripts\is-autoimmune-hepatitis.html
is-autonomic-neuropathy,Autonomic Neuropathy,Autonomic neuropathy,,condition,exact,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-autonomic-neuropathy.html
is-av-block,Atrioventricular (AV) Block,Bradyarrhythmias (including AV block),,condition,fuzzy:1.12,Heart and vasculature,extracted-illness-scripts\is-av-block.html
is-bakers-cyst-rupture,Baker's Cyst Rupture,,,unmatched,unmatched,,extracted-illness-scripts\is-bakers-cyst-rupture.html
is-bakers-cyst,Baker's Cyst,,,unmatched,unmatched,,extracted-illness-scripts\is-bakers-cyst.html
is-behavioural-disorders-in-children,Behavioural Disorders in Children,,,unmatched,unmatched,,extracted-illness-scripts\is-behavioural-disorders-in-children.html
is-bells-palsy,Bell's Palsy,Bell palsy,,condition,fuzzy:1.35,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-bells-palsy.html
is-benign-prostatic-hypertrophy,Benign Prostatic Hypertrophy (BPH),Benign prostatic hyperplasia,,condition,exact,Male genitourinary tract,extracted-illness-scripts\is-benign-prostatic-hypertrophy.html
is-biliary-colic,Biliary Colic,Gallstones and biliary colic,,condition,fuzzy:1.12,"Liver, pancreas, biliary system",extracted-illness-scripts\is-biliary-colic.html
is-bipolar-disorder,Bipolar Disorder,,,unmatched,unmatched,,extracted-illness-scripts\is-bipolar-disorder.html
is-bladder-cancer,Bladder Cancer,Bladder cancer,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-bladder-cancer.html
is-bleeding-and-bruising,Bleeding & Bruising,,,unmatched,unmatched,,extracted-illness-scripts\is-bleeding-and-bruising.html
is-bleeding-disorders,Bleeding Disorders,,,unmatched,unmatched,,extracted-illness-scripts\is-bleeding-disorders.html
is-blepharitis,Blepharitis,,,unmatched,unmatched,,extracted-illness-scripts\is-blepharitis.html
is-boils,Boils,,,unmatched,unmatched,,extracted-illness-scripts\is-boils.html
is-bone-fracture,Bone Fracture,,,unmatched,unmatched,,extracted-illness-scripts\is-bone-fracture.html
is-bone-tumours,Bone Tumours,,,unmatched,unmatched,,extracted-illness-scripts\is-bone-tumours.html
is-bowel-infarction-mesenteric-ischaemia,Bowel Infarction (Mesenteric Ischaemia),,,unmatched,unmatched,,extracted-illness-scripts\is-bowel-infarction-mesenteric-ischaemia.html
is-bppv,Benign Paroxysmal Positional Vertigo (BPPV),Benign paroxysmal positional vertigo (BPPV),,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-bppv.html
is-bradycardia,Bradycardia,,,unmatched,unmatched,,extracted-illness-scripts\is-bradycardia.html
is-brain-abscess,Brain Abscess,Brain abscess,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-brain-abscess.html
is-brain-tumour-or-sol,Brain Tumour or Space-Occupying Lesion (SOL),,,unmatched,unmatched,,extracted-illness-scripts\is-brain-tumour-or-sol.html
is-brain-tumour,Brain Tumour,Brain tumours (primary and secondary),,condition,fuzzy:1.08,Brain and spinal cord,extracted-illness-scripts\is-brain-tumour.html
is-branchial-cyst,Branchial Cyst,,,unmatched,unmatched,,extracted-illness-scripts\is-branchial-cyst.html
is-breast-abscess,Breast Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-breast-abscess.html
is-breast-cancer,Breast Cancer,Breast cancer,,condition,exact,Breast,extracted-illness-scripts\is-breast-cancer.html
is-broad-complex-tachycardia,Broad Complex Tachycardia,,,unmatched,unmatched,,extracted-illness-scripts\is-broad-complex-tachycardia.html
is-bronchiectasis,Bronchiectasis,Bronchiectasis,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-bronchiectasis.html
is-bronchiolitis,Bronchiolitis,Bronchiolitis,,condition,exact,Child health,extracted-illness-scripts\is-bronchiolitis.html
is-bronchitis,Bronchitis,,,unmatched,unmatched,,extracted-illness-scripts\is-bronchitis.html
is-bulimia-nervosa,Bulimia Nervosa,,,unmatched,unmatched,,extracted-illness-scripts\is-bulimia-nervosa.html
is-burning-mouth-syndrome,Burning Mouth Syndrome (BMS),,,unmatched,unmatched,,extracted-illness-scripts\is-burning-mouth-syndrome.html
is-bursitis,Bursitis,Bursitis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-bursitis.html
is-caffeine-withdrawal,Caffeine Withdrawal,,,unmatched,unmatched,,extracted-illness-scripts\is-caffeine-withdrawal.html
is-cancer-cachexia,Cancer Cachexia,,,unmatched,unmatched,,extracted-illness-scripts\is-cancer-cachexia.html
is-carotid-aneurysm,Carotid Aneurysm,,,unmatched,unmatched,,extracted-illness-scripts\is-carotid-aneurysm.html
is-carpal-tunnel-syndrome,Carpal Tunnel Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-carpal-tunnel-syndrome.html
is-cartilage-injury,Cartilage Injury,,,unmatched,unmatched,,extracted-illness-scripts\is-cartilage-injury.html
is-cat-scratch-disease,Cat Scratch Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-cat-scratch-disease.html
is-cataract,Cataract,Cataracts,,condition,exact,Eye,extracted-illness-scripts\is-cataract.html
is-cauda-equina-syndrome,Cauda Equina Syndrome,Cauda equina syndrome,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-cauda-equina-syndrome.html
is-cellulitis,Cellulitis,Cellulitis,,condition,exact,Skin and soft tissue,extracted-illness-scripts\is-cellulitis.html
is-cerebellar-disorder,Cerebellar Disorder,,,unmatched,unmatched,,extracted-illness-scripts\is-cerebellar-disorder.html
is-cerebrovascular-disease,Cerebrovascular Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-cerebrovascular-disease.html
is-cervical-cancer,Cervical Cancer,Cervical cancer,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-cervical-cancer.html
is-cervical-cord-compression,Cervical Cord Compression,Spinal cord compression,,condition,fuzzy:1.16,Brain and spinal cord,extracted-illness-scripts\is-cervical-cord-compression.html
is-cervical-disc-disease,Cervical Disc Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-cervical-disc-disease.html
is-cervical-ectropion,Cervical Ectropion,Cervical ectropion,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-cervical-ectropion.html
is-cervical-lymphadenopathy,Cervical Lymphadenopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-cervical-lymphadenopathy.html
is-cervical-radiculopathy,Cervical Radiculopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-cervical-radiculopathy.html
is-cervical-rib,Cervical Rib,,,unmatched,unmatched,,extracted-illness-scripts\is-cervical-rib.html
is-cervical-spondylosis,Cervical Spondylosis,,,unmatched,unmatched,,extracted-illness-scripts\is-cervical-spondylosis.html
is-cervical-sprain,Cervical Sprain,,,unmatched,unmatched,,extracted-illness-scripts\is-cervical-sprain.html
is-cervicitis,Cervicitis,,,unmatched,unmatched,,extracted-illness-scripts\is-cervicitis.html
is-child-abuse,Child Abuse,,,unmatched,unmatched,,extracted-illness-scripts\is-child-abuse.html
is-childhood-anaemia,Childhood Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-childhood-anaemia.html
is-chlamydia,Chlamydia,Chlamydia,,condition,exact,Infections,extracted-illness-scripts\is-chlamydia.html
is-cholangiocarcinoma,Cholangiocarcinoma,,,unmatched,unmatched,,extracted-illness-scripts\is-cholangiocarcinoma.html
is-cholangitis,Cholangitis,,,unmatched,unmatched,,extracted-illness-scripts\is-cholangitis.html
is-cholecystitis,Cholecystitis,Cholecystitis,,condition,exact,"Liver, pancreas, biliary system",extracted-illness-scripts\is-cholecystitis.html
is-cholestasis,Cholestasis,,,unmatched,unmatched,,extracted-illness-scripts\is-cholestasis.html
is-cholesteatoma,Cholesteatoma,Cholesteatoma,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-cholesteatoma.html
is-chronic-fatigue-syndrome,Chronic Fatigue Syndrome (CFS),Myalgic encephalomyelitis (ME)/ chronic fatigue syndrome (CFS),,condition,fuzzy:1.16,Multi-system diseases,extracted-illness-scripts\is-chronic-fatigue-syndrome.html
is-chronic-glaucoma,Chronic Glaucoma,Chronic glaucoma,,condition,exact,Eye,extracted-illness-scripts\is-chronic-glaucoma.html
is-chronic-infections,Chronic Infections,,,unmatched,unmatched,,extracted-illness-scripts\is-chronic-infections.html
is-chronic-kidney-disease,Chronic Kidney Disease (CKD),Chronic kidney disease,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-chronic-kidney-disease.html
is-chronic-pain-syndromes,Chronic Pain Syndromes,,,unmatched,unmatched,,extracted-illness-scripts\is-chronic-pain-syndromes.html
is-chronic-pancreatitis,Chronic Pancreatitis,Chronic pancreatitis,,condition,exact,"Liver, pancreas, biliary system",extracted-illness-scripts\is-chronic-pancreatitis.html
is-chronic-pelvic-pain,Chronic Pelvic Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-chronic-pelvic-pain.html
is-chronic-venous-insufficiency,Chronic Venous Insufficiency (CVI),Venous insufficiency (including varicose veins),,condition,fuzzy:1.08,Heart and vasculature,extracted-illness-scripts\is-chronic-venous-insufficiency.html
is-cluster-headache,Cluster Headache,,,unmatched,unmatched,,extracted-illness-scripts\is-cluster-headache.html
is-coagulation-disorders,Coagulation Disorders,,,unmatched,unmatched,,extracted-illness-scripts\is-coagulation-disorders.html
is-coeliac-disease,Coeliac Disease,Coeliac disease,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-coeliac-disease.html
is-colonic-polyp,Colonic Polyp,,,unmatched,unmatched,,extracted-illness-scripts\is-colonic-polyp.html
is-colorectal-cancer,Colorectal Cancer,Colorectal cancer,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-colorectal-cancer.html
is-compartment-syndrome,Compartment Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-compartment-syndrome.html
is-complex-regional-pain-syndrome,Complex Regional Pain Syndrome (CRPS),,,unmatched,unmatched,,extracted-illness-scripts\is-complex-regional-pain-syndrome.html
is-congenital-heart-disease,Congenital Heart Disease,Congenital heart disease,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-congenital-heart-disease.html
is-conjunctivitis,Conjunctivitis,Conjunctivitis,,condition,exact,Eye,extracted-illness-scripts\is-conjunctivitis.html
is-connective-tissue-diseases,Connective Tissue Diseases,Scleroderma and mixed connective tissue disease,,condition,fuzzy:1.18,Musculoskeletal,extracted-illness-scripts\is-connective-tissue-diseases.html
is-constipation-induced-delirium,Constipation-Induced Delirium,Constipation,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-constipation-induced-delirium.html
is-constipation,Constipation,Constipation,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-constipation.html
is-contact-dermatitis,Contact Dermatitis,Contact dermatitis,,condition,exact,Skin and soft tissue,extracted-illness-scripts\is-contact-dermatitis.html
is-contact-lens-problems,Contact Lens Problems,,,unmatched,unmatched,,extracted-illness-scripts\is-contact-lens-problems.html
is-contraceptive-related-bleeding,Contraceptive-Related Bleeding,,,unmatched,unmatched,,extracted-illness-scripts\is-contraceptive-related-bleeding.html
is-contraceptives,Contraceptives,,,unmatched,unmatched,,extracted-illness-scripts\is-contraceptives.html
is-copd-severe,COPD (Severe),,,unmatched,unmatched,,extracted-illness-scripts\is-copd-severe.html
is-copd,COPD,Chronic obstructive pulmonary disease (COPD),,condition,fuzzy:1.36,"Lungs, pleura and airways",extracted-illness-scripts\is-copd.html
is-corneal-abrasion,Corneal Abrasion,Corneal ulcer/ abrasion,,condition,fuzzy:1.16,Eye,extracted-illness-scripts\is-corneal-abrasion.html
is-corneal-disease,Corneal Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-corneal-disease.html
is-corneal-ulcer,Corneal Ulcer,Corneal ulcer/ abrasion,,condition,fuzzy:1.16,Eye,extracted-illness-scripts\is-corneal-ulcer.html
is-corns-and-calluses,Corns and Calluses,,,unmatched,unmatched,,extracted-illness-scripts\is-corns-and-calluses.html
is-costochondritis,Costochondritis,,,unmatched,unmatched,,extracted-illness-scripts\is-costochondritis.html
is-covid-19,COVID-19,COVID-19,,condition,exact,Infections,extracted-illness-scripts\is-covid-19.html
is-cows-milk-allergy,Cowâ€™s Milk Allergy (CMA),Cow milk protein allergy,,condition,fuzzy:1.12,Child health,extracted-illness-scripts\is-cows-milk-allergy.html
is-crohns-disease,Crohn's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-crohns-disease.html
is-croup,Croup,Croup,,condition,exact,Child health,extracted-illness-scripts\is-croup.html
is-cruciate-ligament-injury,Cruciate Ligament Injury,,,unmatched,unmatched,,extracted-illness-scripts\is-cruciate-ligament-injury.html
is-cushings-syndrome,Cushing's Syndrome,Cushing syndrome,,condition,fuzzy:1.35,Endocrine and metabolic,extracted-illness-scripts\is-cushings-syndrome.html
is-cyclical-breast-pain,Cyclical Breast Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-cyclical-breast-pain.html
is-cystic-fibrosis,Cystic Fibrosis (CF),Cystic fibrosis,,condition,exact,Genetic and congenital,extracted-illness-scripts\is-cystic-fibrosis.html
is-cytomegalovirus,Cytomegalovirus (CMV) Infection,,,unmatched,unmatched,,extracted-illness-scripts\is-cytomegalovirus.html
is-dehydration,Dehydration,,,unmatched,unmatched,,extracted-illness-scripts\is-dehydration.html
is-delirium,Delirium,Delirium,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-delirium.html
is-dementia,Dementia,,,unmatched,unmatched,,extracted-illness-scripts\is-dementia.html
is-dental-pain,Dental Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-dental-pain.html
is-denture-related-pain,Denture-Related Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-denture-related-pain.html
is-depression,Depression,Depression,,condition,exact,Mental health,extracted-illness-scripts\is-depression.html
is-dermatitis,Dermatitis,,,unmatched,unmatched,,extracted-illness-scripts\is-dermatitis.html
is-detrusor-instability,Detrusor Instability,,,unmatched,unmatched,,extracted-illness-scripts\is-detrusor-instability.html
is-developmental-dysplasia-of-the-hip,Developmental Dysplasia of the Hip (DDH),"Childhood hip/ leg disorders (including Perthes disease, slipped upper femoral epiphyses, developmental dysplasia of the hip)",,condition,fuzzy:1.10,Child health,extracted-illness-scripts\is-developmental-dysplasia-of-the-hip.html
is-diabetes,Diabetes,,,unmatched,unmatched,,extracted-illness-scripts\is-diabetes.html
is-diabetic-autonomic-neuropathy,Diabetic Autonomic Neuropathy,Autonomic neuropathy,,condition,exact,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-diabetic-autonomic-neuropathy.html
is-diabetic-foot-painless,Diabetic Foot (Painless),,,unmatched,unmatched,,extracted-illness-scripts\is-diabetic-foot-painless.html
is-diabetic-gastroparesis,Diabetic Gastroparesis,,,unmatched,unmatched,,extracted-illness-scripts\is-diabetic-gastroparesis.html
is-diabetic-ketoacidosis,Diabetic Ketoacidosis (DKA),Diabetic ketoacidosis (DKA),,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-diabetic-ketoacidosis.html
is-diabetic-nephropathy,Diabetic Nephropathy,Diabetic nephropathy,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-diabetic-nephropathy.html
is-diabetic-neuropathy,Diabetic Neuropathy,Diabetic neuropathy,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-diabetic-neuropathy.html
is-diabetic-retinopathy,Diabetic Retinopathy,Diabetic retinopathy,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-diabetic-retinopathy.html
is-disc-disease,Disc Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-disc-disease.html
is-discitis,Discitis,,,unmatched,unmatched,,extracted-illness-scripts\is-discitis.html
is-dissecting-aortic-aneurysm,Aortic Dissection,Aortic dissection,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-dissecting-aortic-aneurysm.html
is-disuse-atrophy,Disuse Atrophy,,,unmatched,unmatched,,extracted-illness-scripts\is-disuse-atrophy.html
is-diverticular-disease,Diverticular Disease,Diverticular disease and diverticulitis,,condition,fuzzy:1.12,Gastrointestinal tract,extracted-illness-scripts\is-diverticular-disease.html
is-diverticulitis,Diverticulitis,,,unmatched,unmatched,,extracted-illness-scripts\is-diverticulitis.html
is-dizziness,Dizziness,,,unmatched,unmatched,,extracted-illness-scripts\is-dizziness.html
is-drug-abuse,Drug Abuse,,,unmatched,unmatched,,extracted-illness-scripts\is-drug-abuse.html
is-drug-and-alcohol-abuse,Drug and Alcohol Abuse,,,unmatched,unmatched,,extracted-illness-scripts\is-drug-and-alcohol-abuse.html
is-drug-induced-palpitations,Drug-Induced Palpitations,,,unmatched,unmatched,,extracted-illness-scripts\is-drug-induced-palpitations.html
is-drug-withdrawal,Drug Withdrawal,,,unmatched,unmatched,,extracted-illness-scripts\is-drug-withdrawal.html
is-dry-skin,Dry Skin (Xerosis),,,unmatched,unmatched,,extracted-illness-scripts\is-dry-skin.html
is-dub,Dysfunctional Uterine Bleeding (DUB),,,unmatched,unmatched,,extracted-illness-scripts\is-dub.html
is-dvt,Deep Vein Thrombosis (DVT),Deep vein thrombosis,,condition,fuzzy:1.45,Heart and vasculature,extracted-illness-scripts\is-dvt.html
is-dysmenorrhoea,Dysmenorrhoea,,,unmatched,unmatched,,extracted-illness-scripts\is-dysmenorrhoea.html
is-ear-boil,Ear Boil (Furuncle of the Ear Canal),,,unmatched,unmatched,,extracted-illness-scripts\is-ear-boil.html
is-ear-wax,Ear Wax (Cerumen Impaction),,,unmatched,unmatched,,extracted-illness-scripts\is-ear-wax.html
is-early-dementia,Early Dementia,,,unmatched,unmatched,,extracted-illness-scripts\is-early-dementia.html
is-early-pregnancy,Early Pregnancy,,,unmatched,unmatched,,extracted-illness-scripts\is-early-pregnancy.html
is-eating-disorder,Eating Disorder,Eating disorders,,condition,exact,Mental health,extracted-illness-scripts\is-eating-disorder.html
is-ectopic-pregnancy,Ectopic Pregnancy,Ectopic pregnancy,,condition,exact,Pregnancy and the puerperium,extracted-illness-scripts\is-ectopic-pregnancy.html
is-electrolyte-disturbance,Electrolyte Disturbance,,,unmatched,unmatched,,extracted-illness-scripts\is-electrolyte-disturbance.html
is-encephalitis,Encephalitis,Encephalitis,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-encephalitis.html
is-endometrial-cancer,Endometrial Cancer,Endometrial cancer,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-endometrial-cancer.html
is-endometrial-hyperplasia,Endometrial Hyperplasia,,,unmatched,unmatched,,extracted-illness-scripts\is-endometrial-hyperplasia.html
is-endometriosis,Endometriosis,Endometriosis,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-endometriosis.html
is-endometritis,Endometritis,,,unmatched,unmatched,,extracted-illness-scripts\is-endometritis.html
is-endophthalmitis,Endophthalmitis,,,unmatched,unmatched,,extracted-illness-scripts\is-endophthalmitis.html
is-epicondylitis,Epicondylitis,,,unmatched,unmatched,,extracted-illness-scripts\is-epicondylitis.html
is-epiglottitis,Epiglottitis,Epiglottitis,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-epiglottitis.html
is-epilepsy,Epilepsy,Epilepsy,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-epilepsy.html
is-episcleritis,Episcleritis,,,unmatched,unmatched,,extracted-illness-scripts\is-episcleritis.html
is-epistaxis,Epistaxis,Epistaxis,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-epistaxis.html
is-essential-hypertension,Essential Hypertension,Hypertension (essential or secondary),,condition,fuzzy:1.12,Heart and vasculature,extracted-illness-scripts\is-essential-hypertension.html
is-essential-tremor,Essential Tremor,Essential tremor,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-essential-tremor.html
is-eustachian-tube-dysfunction,Eustachian Tube Dysfunction,,,unmatched,unmatched,,extracted-illness-scripts\is-eustachian-tube-dysfunction.html
is-exercise-induced-haematuria,Exercise-induced Haematuria,,,unmatched,unmatched,,extracted-illness-scripts\is-exercise-induced-haematuria.html
is-eye-trauma-or-foreign-body,Eye Trauma or Foreign Body,,,unmatched,unmatched,,extracted-illness-scripts\is-eye-trauma-or-foreign-body.html
is-faecal-impaction,Faecal Impaction (Overflow Diarrhoea),,,unmatched,unmatched,,extracted-illness-scripts\is-faecal-impaction.html
is-fbao,Foreign Body Airway Obstruction (FBAO),,,unmatched,unmatched,,extracted-illness-scripts\is-fbao.html
is-febrile-convulsions-children,Febrile Convulsions (Children),Febrile convulsions,,condition,fuzzy:1.35,Child health,extracted-illness-scripts\is-febrile-convulsions-children.html
is-femoral-artery-aneurysm,Femoral Artery Aneurysm,,,unmatched,unmatched,,extracted-illness-scripts\is-femoral-artery-aneurysm.html
is-fever,Fever,,,unmatched,unmatched,,extracted-illness-scripts\is-fever.html
is-fibrocystic-disease,Fibrocystic Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-fibrocystic-disease.html
is-fibroids,Fibroids (Uterine Leiomyomas),Fibroids,,condition,exact,Gynaecological tract,extracted-illness-scripts\is-fibroids.html
is-fibromyalgia,Fibromyalgia,Fibromyalgia,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-fibromyalgia.html
is-folate-deficiency,Folate Deficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-folate-deficiency.html
is-food-allergy-and-intolerance,Food Allergy and Intolerance,,,unmatched,unmatched,,extracted-illness-scripts\is-food-allergy-and-intolerance.html
is-food-poisoning,Food Poisoning,,,unmatched,unmatched,,extracted-illness-scripts\is-food-poisoning.html
is-foot-deformities,Foot Deformities,,,unmatched,unmatched,,extracted-illness-scripts\is-foot-deformities.html
is-foreign-body,Foreign Body,,,unmatched,unmatched,,extracted-illness-scripts\is-foreign-body.html
is-fracture-or-dislocation,Fracture or Dislocation,Joint dislocation or subluxation,,condition,fuzzy:1.12,Musculoskeletal,extracted-illness-scripts\is-fracture-or-dislocation.html
is-frailty,Frailty,,,unmatched,unmatched,,extracted-illness-scripts\is-frailty.html
is-frontal-lobe-lesions,Frontal Lobe Lesions,,,unmatched,unmatched,,extracted-illness-scripts\is-frontal-lobe-lesions.html
is-functional-abdominal-pain-syndrome,Functional Abdominal Pain Syndrome (FAPS),,,unmatched,unmatched,,extracted-illness-scripts\is-functional-abdominal-pain-syndrome.html
is-functional-disorder,Functional Disorder,,,unmatched,unmatched,,extracted-illness-scripts\is-functional-disorder.html
is-gallstone-disease,Gallstone Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-gallstone-disease.html
is-gastric-cancer,Gastric Cancer,Gastric cancer,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-gastric-cancer.html
is-gastritis,Gastritis,,,unmatched,unmatched,,extracted-illness-scripts\is-gastritis.html
is-gastroenteritis,Gastroenteritis,,,unmatched,unmatched,,extracted-illness-scripts\is-gastroenteritis.html
is-generalised-anxiety-disorder,Generalised Anxiety Disorder (GAD),Generalised anxiety disorder,,condition,exact,Mental health,extracted-illness-scripts\is-generalised-anxiety-disorder.html
is-genital-herpes,Genital Herpes,,,unmatched,unmatched,,extracted-illness-scripts\is-genital-herpes.html
is-genito-urinary-tract-infection,Genito-Urinary Tract Infection (UTI),Urinary tract infection,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-genito-urinary-tract-infection.html
is-geographic-tongue,Geographic Tongue,,,unmatched,unmatched,,extracted-illness-scripts\is-geographic-tongue.html
is-gestational-hypertension,Gestational Hypertension,,,unmatched,unmatched,,extracted-illness-scripts\is-gestational-hypertension.html
is-gi-tract-cancer,GI Tract Cancer,,,unmatched,unmatched,,extracted-illness-scripts\is-gi-tract-cancer.html
is-gilberts-syndrome,Gilbert's Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-gilberts-syndrome.html
is-glandular-fever,Glandular fever,,,unmatched,unmatched,,extracted-illness-scripts\is-glandular-fever.html
is-globus-hystericus,Globus Hystericus,,,unmatched,unmatched,,extracted-illness-scripts\is-globus-hystericus.html
is-glomerulonephritis,Glomerulonephritis,Glomerulonephritis,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-glomerulonephritis.html
is-goitre,Goitre,,,unmatched,unmatched,,extracted-illness-scripts\is-goitre.html
