slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-shoulder-osteoarthritis,Shoulder Osteoarthritis,Osteoarthritis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-shoulder-osteoarthritis.html
is-shoulder-pain,Shoulder Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-shoulder-pain.html
is-sick-sinus-syndrome,Sick Sinus Syndrome (SSS),,,unmatched,unmatched,,extracted-illness-scripts\is-sick-sinus-syndrome.html
is-sickle-cell-crisis,Sickle Cell Crisis,,,unmatched,unmatched,,extracted-illness-scripts\is-sickle-cell-crisis.html
is-sickle-cell-disease,Sickle Cell Disease,Sickle cell disease,,condition,exact,Blood and lymph,extracted-illness-scripts\is-sickle-cell-disease.html
is-sideroblastic-anaemia,Sideroblastic Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-sideroblastic-anaemia.html
is-silent-myocardial-infarction,Silent Myocardial Infarction (SMI),,,unmatched,unmatched,,extracted-illness-scripts\is-silent-myocardial-infarction.html
is-simple-constipation,Simple Constipation,Constipation,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-simple-constipation.html
is-sinus-tachycardia,Sinus Tachycardia,,,unmatched,unmatched,,extracted-illness-scripts\is-sinus-tachycardia.html
is-sinusitis,Sinusitis,,,unmatched,unmatched,,extracted-illness-scripts\is-sinusitis.html
is-sjogrens-syndrome,Sjogren's Syndrome,Sjogren syndrome,,condition,fuzzy:1.35,Musculoskeletal,extracted-illness-scripts\is-sjogrens-syndrome.html
is-skin-infection,Skin Infection,,,unmatched,unmatched,,extracted-illness-scripts\is-skin-infection.html
is-slipped-capital-femoral-epiphysis,Slipped Capital Femoral Epiphysis (SCFE),,,unmatched,unmatched,,extracted-illness-scripts\is-slipped-capital-femoral-epiphysis.html
is-smokers-laryngitis,Smokers Laryngitis,,,unmatched,unmatched,,extracted-illness-scripts\is-smokers-laryngitis.html
is-soft-tissue-injury,Soft Tissue Injury,Soft tissue injury,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-soft-tissue-injury.html
is-space-occupying-lesion,Space-Occupying Lesion (SOL),,,unmatched,unmatched,,extracted-illness-scripts\is-space-occupying-lesion.html
is-spinal-abscess,Spinal Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-spinal-abscess.html
is-spinal-cord-compression,Spinal Cord Compression,Spinal cord compression,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-spinal-cord-compression.html
is-spinal-cord-tumour,Spinal Cord Tumour,,,unmatched,unmatched,,extracted-illness-scripts\is-spinal-cord-tumour.html
is-spinal-sprains-and-strains,Spinal Sprains and Strains,,,unmatched,unmatched,,extracted-illness-scripts\is-spinal-sprains-and-strains.html
is-spinal-stenosis,Spinal Stenosis,,,unmatched,unmatched,,extracted-illness-scripts\is-spinal-stenosis.html
is-spinal-tuberculosis,Spinal Tuberculosis,Tuberculosis,,condition,exact,Infections,extracted-illness-scripts\is-spinal-tuberculosis.html
is-splenomegaly,Splenomegaly,,,unmatched,unmatched,,extracted-illness-scripts\is-splenomegaly.html
is-spondyloarthropathies,Spondyloarthropathies,,,unmatched,unmatched,,extracted-illness-scripts\is-spondyloarthropathies.html
is-spondylolisthesis,Spondylolisthesis,,,unmatched,unmatched,,extracted-illness-scripts\is-spondylolisthesis.html
is-spondylosis,Spondylosis,,,unmatched,unmatched,,extracted-illness-scripts\is-spondylosis.html
is-sprains-and-strains-overuse,Sprains and Strains (Including Overuse),,,unmatched,unmatched,,extracted-illness-scripts\is-sprains-and-strains-overuse.html
is-sprains-and-strains,Sprains and Strains,,,unmatched,unmatched,,extracted-illness-scripts\is-sprains-and-strains.html
is-statin-related-myopathy-inc-rhabdomyolysis,Statin-Related Myopathy (Including Rhabdomyolysis),Rhabdomyolysis,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-statin-related-myopathy-inc-rhabdomyolysis.html
is-stevens-johnson-syndrome,Stevens-Johnson Syndrome (SJS),,,unmatched,unmatched,,extracted-illness-scripts\is-stevens-johnson-syndrome.html
is-stomatitis,Stomatitis,,,unmatched,unmatched,,extracted-illness-scripts\is-stomatitis.html
is-stress-and-overwork,Stress and Overwork,,,unmatched,unmatched,,extracted-illness-scripts\is-stress-and-overwork.html
is-stress-or-anxiety,Stress or Anxiety,,,unmatched,unmatched,,extracted-illness-scripts\is-stress-or-anxiety.html
is-stye-hordeolum,Stye (Hordeolum),,,unmatched,unmatched,,extracted-illness-scripts\is-stye-hordeolum.html
is-subarachnoid-haemorrhage,Subarachnoid Haemorrhage (SAH),Subarachnoid haemorrhage,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-subarachnoid-haemorrhage.html
is-subconjunctival-haemorrhage,Subconjunctival Haemorrhage,Subconjunctival haemorrhage,,condition,exact,Eye,extracted-illness-scripts\is-subconjunctival-haemorrhage.html
is-subdural-haematoma,Subdural Haematoma,,,unmatched,unmatched,,extracted-illness-scripts\is-subdural-haematoma.html
is-sudden-sensorineural-hearing-loss,Sudden Sensorineural Hearing Loss (SSNHL),,,unmatched,unmatched,,extracted-illness-scripts\is-sudden-sensorineural-hearing-loss.html
is-systemic-lupus-erythematosus,Systemic Lupus Erythematosus (SLE),Systemic lupus erythematosus,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-systemic-lupus-erythematosus.html
is-teething,Teething,,,unmatched,unmatched,,extracted-illness-scripts\is-teething.html
is-temporal-arteritis-gca,Temporal Arteritis (Giant Cell Arteritis - GCA),Giant cell arteritis,,condition,fuzzy:1.45,Musculoskeletal,extracted-illness-scripts\is-temporal-arteritis-gca.html
is-tension-type-headache,Tension Type Headache (TTH),,,unmatched,unmatched,,extracted-illness-scripts\is-tension-type-headache.html
is-testicular-torsion,Testicular Torsion,Testicular torsion,,condition,exact,Male genitourinary tract,extracted-illness-scripts\is-testicular-torsion.html
is-thalassaemia,Thalassaemia,,,unmatched,unmatched,,extracted-illness-scripts\is-thalassaemia.html
is-thoracic-radiculopathy,Thoracic Radiculopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-thoracic-radiculopathy.html
is-threatened-miscarriage,Threatened Miscarriage,,,unmatched,unmatched,,extracted-illness-scripts\is-threatened-miscarriage.html
is-thrombocytopenia,Thrombocytopenia,,,unmatched,unmatched,,extracted-illness-scripts\is-thrombocytopenia.html
is-thrombocytopenic-purpura,Thrombocytopenic Purpura,Idiopathic thrombocytopenic purpura (ITP),,condition,fuzzy:1.12,Blood and lymph,extracted-illness-scripts\is-thrombocytopenic-purpura.html
is-thrombophlebitis,Thrombophlebitis,,,unmatched,unmatched,,extracted-illness-scripts\is-thrombophlebitis.html
is-thyroglossal-cyst,Thyroglossal Cyst,,,unmatched,unmatched,,extracted-illness-scripts\is-thyroglossal-cyst.html
